"roadSize","beds","bathrooms","builtOn","landArea","price","location"
,"5","6",,"48 Anna",300000000,"Kathmandu, Golfutar Height"
,"6","4",,"8 Anna",50000000,"Kathmandu, Sukedhara"
,"8","4","2075","3 Anna 2 Paisa","21000000","Kathmandu, Swoyambhu"
,"5","5",,"26 Anna","150000000","Kathmandu, chundevi"
"16","7","8","2077","5 Anna 2 Paisa","52500000","Kathmandu,Tahachal"
,"4","3",,"4 Anna 2 Paisa","30000000","Kathmandu,Kalanki, LRI School Area"
,"5","4","2077","4 Anna 2 Paisa","30000000","Kathmandu, Raniban"
,,,,,"21000000","Kathmandhu, Tarkeshwor, Jarankhu"
,"4","4","2076","4 Anna 2 Paisa","26000000","Kathmandu, Sitapiala"
,"3","3",,,"30000000","Kathmandu, Bhatbhateni, Naxal"
,"4","2","2072","4 Anna 3 Paisa","16000000","Kathmandu, Syuchatar"
,"6","6",,"2 Ropani","350000","Kathmandu, Maharajgung"
,"6","5",,"17 Anna",200000,"Kathmandu, Naxal, Hadigaun"
,"5","3","2077","6 Anna 1 Paisa",50000000,"Kathmandu, Sano Bharayang"
,"5","5",,"5 Ropani",600000,"Kathmandu, Chapalkarkhana"
,"5","4","2075","८ आना",48000000,"Kathmandu, Budhanilkantha, Hepali Heights"
"13","6","5","2075","5 Anna 1 Paisa 1 Dam","31500000","Kathmandu, Sitapaila"
,"6","3","2074","4 Anna","25000000","Kathmandu, Dhapasi,"
,"5","4","2075","4 Anna 1 Paisa","34000000","Kathmandu, Sano Bhanrayang"
,"5","3",,"4 Anna 2 Paisa 2 Dam","27000000","Kathmandu, Chauni"
,"5","3","2077","4 Anna 2 Paisa","30000000","Kathmandu, Raniban, Tinghare"
,"5","4","2077","3 Anna 2 Paisa 2 Dam","18000000","Kathmandu, Satungal, Balambu"
,"5","4","2077","3 Anna 2 Paisa 2 Dam","18000000","Kathmandu, Satungal, Balambu"
,"4","3","2077","3 ANNA","16500000","Kathmandu, Thankot"
,"2","3","2077","3 ANNA","14000000","Kathmandu, Thankot, Om Basti"
,"4","3","2077","4 Anna 1 Paisa","26000000","Kathmandu, Halchowk, Pachdhara"
"13","5","3","2075","4 Anna","34000000","Kathmandu, Swoyambhu, Kimdol, Thado Bharayang"
"16","7","9","2077","5 Anna 2 Paisa","55000000","Kathmandu,Tahachal"
,"6","4","2077","4 Anna 1 Paisa","23000000","Kathmandu, Mahankal , Ramkot"
,"6","3","2074","4 Anna 1 Paisa","24000000","Kathmandu, Sitapaila"
,"5","3","2061","4 Anna 3 Dam","40000000","kathmandu,dallu"
,"5","5",,"21 Anna","105000000","Kathmandu, Budhanilkantha"
,"5","4","2075","6 Anna","45000000","Kathmandu, Budhanikantha-5"
,"5","5","2069","27 Anna","120000000","Narayanthan, Budhanilkantha"
,"5","5","2074","20 Anna","100000000","Kathmandu, Budhanilkantha"
,"4","4","2074","3 Anna 2 Paisa","30000000","Kathmandu, Sano Bhanrayang"
,"4","4","2077","7 Anna 2 Paisa","55000000","Kathmandu, Budhanilkantha-1"
,"14","10",,"12 Anna","90000000","Kathmandu, Gongabu, SIdditole"
,"11","5","2065","11 Anna","185000000","Kathmandu, Boudha"
,"5","4",,"4 Anna 2 Paisa","36000000","Kathmandu, Halchowk, Pachdhara"
"14","9","9","2074","26 ANNA",400000,"Lalitpur, Khumaltar"
"20","4","5",,"11 Anna",70000000,"Kathmandu,Banasthali"
"13","6","5","2075","5 Anna 1 Paisa","36500000","Kathmandu, Nepaltar, Tusal"
,"4","3","2077","4 Anna","18500000","Kathmandu, Dahachowk"
,"5","4","2077","7 Anna 2 Paisa","55000000","Kathmandu, Budhanilkantha"
,"6","5","2077","4 Anna 2 Paisa","31500000","Kathmandu, Sano Bhanrayang"
,"4","7","2076","1 Ropani","70000000","Kathmandu, Budhanilkantha"
,"4","4","2077","3 Anna 1 Paisa","27000000","Kathmandu, Sano Bhanrayang"
,"3","3","2077","3 Anna 2 Paisa","28000000","Kathmandu, Sitapaila"
"16","5","3","2077","3 ANNA","23000000","Kathmandu, Sitapaila"
,"4","4",,"5 Anna 2 Paisa 2 Dam","36500000","Lalitpur, Kusunti Area"
,"6","6",,"17.2 Anna","250000","Kathmandu, Budhanikantha, Siddhartha Colony"
"13","6","4","2078 B.S","4 Anna","27000000","Kathmandu, Tokha, Dhaneshwor Height"
"16","4","4","2078 B.S","3 Anna 1 Paisa","37000000","Kathmandu, Grande, Futsal"
"13","6","4","2078 B.S","4 Anna","35000000","Lalitpur, Khumaltar"
"16","6","3","2072","3 Anna 2 Paisa","25000000","Lalitpur. Khumaltar"
"20","4","1","2069","6 Anna","16000000","Lalitpur, Jharuwarasi"
"10","6","3","2078 B.S","3 ANNA","35000000","Kathmandu, Bafal"
"12","5","3","2078 B.S","0.3.1.2","27500000","Kathmandu, Ichangunarayan, Rai chowk"
"10","6","3","2076","4 Anna","33000000","Kathmandu, Sitapaila, Bafal"
"13","6","3","2064","10 Anna","170000","Kathmandu, Pani Pokhari"
"15","5","5","2075","4 Anna 2 Paisa 2 Dam",750000000,"Kathmandu, Kapan"
"18","7","4","2071","5 Anna","23000000","Kathmandu, Tarkeshwor, Basantacolony"
"14","8","5","2071","10 Anna",50000000,"Kathmandu, Sano Bharayang"
"22","4","5","2078 B.S","5 Anna","26000000","Kathmandu, Hatigauda"
"13","4","4","2077 B.S","4 Anna","25500000","Kathmandu, Chandagiri, Gokul Party"
"14","5","2","2070 B.S","4 Anna","22000000","Kathmandu, Syuchatar"
"13","5","4","2078 B.S","5 Anna","37500000","Kathmandu, Budhanilkantha, Wasik"
"12","5","3","2078 B.S","3 Anna 1 Dam","18500000","Kathmandu, Raamkot"
"12","6","4","2076","2 Anna 3 Paisa","25000000","Kathmandu, Swoyambhu, Kimdol"
"13","6","3","2078 B..S","3.1 anna","25000000","Kathmandu, Sano Bhanrayang"
"20",,,,,"3500000","Kathmandu, Sitapaila, Taukhel"
"18","4","4","2077 B.S","3 Anna 3 Paisa","28500000","Lalitpur, Nakhipot"
"4","2","1",,,"20000","Kathmandu, Thulo Bharayang"
"13","8","3","2075","4 Anna 2 Paisa","23500000","Kathmandu, Gairgaun"
"16","3","3","2077","3 ANNA","22500000","Kathmandu, Tokha, Suryadarshan Height"
"13","7","5","2078 B..S","4 Anna","46500000","Kathmandu, Dallu"
"10","7","4",,"4.5 anna","22000000","Kathmandu, Syuchatar"
"13","6","4","2078 B..S","4 Anna","40000000","kathmandu, dallu"
"16","7","5","2074 B.S","3.2 Anna","29000000","Kathmandu, Banglamukhi, Sitapaila"
"14","4","3","2074 B.S","3.2 Anna","27500000","Rumba chowk, Sano bharyang, Kathmandu"
"12","4","3","2074 B.S","3 Anna","20000000","Kathmandu, Nagarjung, Raniban"
"18","5","5","2075 B.S","5.5 Anna","62000000","Kathmandu, Raniban"
"16","7","3","2078 B.S.","4.1 Anna","36000000","Kathmandu, Sano bharyang"
"13","4","3","2078 B..S","3.3 Anna","30000000","Lalitpur, Magargaun"
"13","3","3","2078 B.S","3 ANNA","30000000","Kathmandu, Raniban, Yekaltar"
"22","5","5","2078 B.S.","5 Anna","47500000","Kathmandu, Raniban"
"22","7","5","2078 B.S","7 Aana","30000000","Kathmandu,Hatti Gauda"
"10","6","3","2078 B..S","4.1.2 Anna","18500000","Kathmandu, Lolang, Aryatar"
"13","4","3","2078 B..S","3 Anna","28000000","Kathmandu, Thulo-bharyang, Halchowk"
"13",,"3",,"26 Anna","3500","Kathmandu, Balwatar."
"10","5","4","2078 B..S","3.2 Anna","32500000","Kathmandu, Thulo Bharayang"
"26","6","4","2074 B.S","0.4.0.2 Anna","30500000","Kathmandu, Ramkot"
"20","6","4","2078 B..S","3.2 Anna","36000000","Kathmandu, Tarkeshwor, Sangam Tole"
"13","4","4","2077 B.S","3 Anna","26000000","Kathmandu, Sitapaila, Adeshwor"
"15","5","4","2068 B.S","4 Anna","26500000","Kathmandu, Sitapaila, Adeshwor"
"16","8","5","2077 B..S","5 Anna","43000000","Kathmandu, Sano bharyang"
"16","6","6","2078 B..S","4 Anna","30500000","Kathmandu, Sitapaila, Adeshwor"
"14","7","5","2078 B..S","0-8-2-0",750000000,"Kathmandu, Golfutar"
"13","7","3","2074 B.S","3.2.2 Anna","23500000","Kathmandu, Sitapaila, Banglamukhi"
"16","5","5","2072 B.S.","7.2 Anna",50000000,"Kathmandu, Sitapaila"
"16","4","4","2073 B.S","5 Anna","37500000","Kathmandu, Sitapaila"
"13","4","3","2078 B.S.","3.3.3 AANA","24000000","Kathmandu, Ramkot, Nagarjung-6"
"13","4","3","2078 B..S","3 Anna","29500000","Kathmandu, Dallu"
"13","4","5","2065 B.s","20 Anna","125000000","Kathmandu, Budhanilkantha, Bhangal"
"22","6","5","2076 B.S","4.5 anna","33500000","Kathmandu, Sita-paila"
"20","6","4","2078 B.S.","0.4.2.1",250000000,"Kathmandu, Raniban, Radha Krishna"
"20","3","3","2077 B.S","4.3 Anna",250000000,"Kathmandu,Raniban, Kharibot"
"13","5","4","2078 B..S","3.5 anna","29000000","Kathmandu, Sitapaila-5"
"13","5","3","2078 B..S","4 Anna","28500000","Kathmandu, Bafal"
"13","3","3","2074 B.S","11 Anna","110000","Kathmandu, Budhanilkantha, Yekatabasti"
"20",,,"2078 B..S","5.2 anna",,"Kathmandu,  Aakase Dhara"
"12","5","3","2078 B..S","3 Anna","28500000","Kathmandu, Bafal"
"25",,,,"1 Ropani","250000","Kathmandu, Putalisadak"
"16","6","3","2079 B.S.","3 Anna","22000000","Kathmandu, Sitapaila"
"20","6","4","2045 B.S","13.2 Anna","120000","Lalitpur, Khumaltar Heights"
"20","5","3","2056 B.S.","27 Anna",300000,"Kathmandu, Ravibhawan"
"13","6","3","2078 B..S","3 Anna","20500000","Kathmndu, Nagarjung-8"
"16","4","2","2078 B..S","0.2.2.2",80000000,"Kathmandu, Nagarjung, Towkhel"
"13",,,,"3-5 Anna",3500000,"Kathmandu, Sitapaila-5,Sankata"
"13",,,,"3-8 Anna",2400000,"Kathmandu,Nagajung-7, Bhimdhunga"
"13","4","3","2078 B..S","0.5.2.1","39000000","Lalitpur, Nakhu"
"16","5","5","2070 B.S","9 Anna",200000000,"Kathmandu, Sitapaila Mandir"
"13","9","4","2063 B.S","6 Anna","47000000","Kathmandu, Nagarjung-3, Ekdhara"
"13","4","3","2074 B.S","4 Anna","35000","Kathmandu, Swoyambhu,Panidhara"
"10","6","4","2061 B.S.","8 Anna","60000000","Lalitpur, Bhaisepati, Sainbu"
"13","4","3","2058 B.S","22 Anna","150000","Thapathali, Kathmandu"
"13","4","4","2074 B.S","17 Anna","300000","Kathmandu, Sanepa"
"20","4","5",,"18 Annas","230000","Lalitpur, Sanepa"
"14","4","5","2079 B.S.","3.3 ANna","37500000","Lalitpur, Bhaisepati"
"13","5","3","2079 B..S","3 Anna 1 Dam","28500000","Lalitpur, Imadol, Cozy Homes"
"16","5","5",,"14 Anna","250000","Lalitpur, Sanepa"
"16","5","5","2077 B.S","8 Anna","6","Kathmandu, Sitapaila"
"13","5","4",,"12 Anna",500000,"Kathmandu, Maharajgung"
"13","8","4","2079 B.S.","3 Anna","31000000","Kathmandu, Nagarjung-3, Buddha Chowk"
"13","4","4","2079 B..S","2.2 Anna","27500000","Karhmandu, Nagarjung-2"
"13","5","5","2079 B.S","3.1 Anna","29000000","Lalitpur, Bhaisepati, Nakhu"
"12","11","5","2078","4.5 anna","35000000","Narayntar gokarneswhor municipality"
