location,roadSize,bedrooms,bathrooms,landarea,price,builtOn
"Kathmandu,Tahachal",16,7,8,5 Anna 2 Paisa,52500000,2077
"Kathmandu, Sitapaila",13,6,5,5 Anna 1 Paisa 1 Dam,Rs. 3.15 Cr,2075
"Kathmandu, Swoyambhu, Kimdol, Thado Bharayang",13,5,3,4 Anna,34000000,2075
"Kathmandu,Tahachal",16,7,9,5 Anna 2 Paisa,Rs. 5.5 Cr,2077
"Lalitpur, khumaltar",14,9,9,26 Anna,700000000,2074
"Kathmandu, Nepaltar, Tusal",13,6,5,5 Anna 1 Paisa,36500000,2075
"Kathmandu, Sitapaila",16,5,3,3 Anna,23000000,2077
"Kathmandu, Tokha, Dhaneshwor Height",13,6,4,4 Anna,27000000,2078 B.S
"Kathmandu, Grande, Futsal",16,4,4,3 Anna 1 Paisa,37000000,2078 B.S
"Lalitpur, khumaltar",13,6,4,4 Anna,35000000,2078 B.S
Lalitpur. Khumaltar,16,6,3,3 Anna 2 Paisa,25000000,2072
"Lalitpur, Jharuwarasi",20,4,1,6 Anna,16000000,2069
"Kathmandu, Bafal",10,6,3,3 Anna,35000000,2078 B.S
"Kathmandu, Ichangunarayan, Rai chowk",12,5,3,0.3.1.2,27500000,2078 B.S
"Kathmandu, Sitapaila, Bafal",10,6,3,4 Anna,33000000,2076
"Kathmandu, Pani Pokhari",13,6,3,10 Anna,27000000,2064
"Kathmandu, Kapan",15,5,5,4 Anna 2 Paisa 2 Dam,75000000,2075
"Kathmandu, Tarakeshwar",18,7,4,5 Anna,23000000,2071
"Kathmandu, Sano Bharyang",14,8,5,10 Anna,50000000,2071
"Kathmandu, Hattiguada",22,4,5,5 Anna,26000000,2078 B.S
"Kathmandu, Chandragiri",13,4,4,4 Anna,25500000,2077 B.S
"Kathmandu, Syuchatar",14,5,2,4 Anna,22000000,2070 B.S
"Kathmandu, Budhanilkhantha, Wasik",13,5,4,5 Anna,37500000,2078 B.S
"Kathmandu, Ramkot",12,5,3,3 Anna 1 Dam,18500000,2078 B.S
"Kathmandu, Swoyambhu, Kimdol",12,6,4,2 Anna 3 Paisa,25000000,2076
"Kathmandu, Sano Bharyang",13,6,3,3.1 Anna,25000000,2078 B..S
"Lalitpur, Nakhipot",18,4,4,3 Anna 3 Paisa,28500000,2077 B.S
"Kathmandu, Gairigaun",13,8,3,4 Anna 2 Paisa,23500000,2075
"Kathmandu, Tokha, Suryadarshan Height",16,3,3,3 Anna,22500000,2077
"Kathmandu, Dallu",13,7,5,4 Anna,46500000,2078 B..S
"kathmandu, dallu",13,6,4,4 Anna,40000000,2078 B..S
"Kathmandu, Banglamukhi, Sitapaila",16,7,5,3.2 Anna,29000000,2074 B.S
"Kathmandu, Sano Bharyang",14,4,3,3.2 Anna,27500000,2074 B.S
"Kathmandu, Nagarjuna, Raniban",12,4,3,3 Anna,20000000,2074 B.S
"Kathmandu, Raniban",18,5,5,5.5 Anna,62000000,2075 B.S
"Kathmandu, Sano bharyang",16,7,3,4.1 Anna,36000000,2078 B.S.
"Lalitpur, Magargaun",13,4,3,3.3 Anna,30000000,2078 B..S
"Kathmandu, Raniban, Yekaltar",13,3,3,3 Anna,30000000,2078 B.S
"Kathmandu, Raniban",22,5,5,5 Anna,47500000,2078 B.S.
"kathmandu, Hattigauda",22,7,5,7 Anna,30000000,2078 B.S
"Kathmandu, Lolang, Aryatar",10,6,3,4.1.2 ,18500000,2078 B..S
"kathmandu, Thulo Bharyang, Halchowk",13,4,3,3 Anna,28000000,2078 B..S
"Kathmandu, Thulo Bharyang",10,5,4,3.2 Anna,32500000,2078 B..S
"Kathmandu, Ramkot",26,6,4,0.4.0.2 Anna,30500000,2074 B.S
"Kathmandu, Tarkeshwor",20,6,4,3.2 Anna,36000000,2078 B..S
"Kathmandu, Sitapaila, Adeshwor",13,4,4,3 Anna,26000000,2077 B.S
"Kathmandu, Sitapaila, Adeshwor",15,5,4,4 Anna,26500000,2068 B.S
"Kathmandu, Sano bharyang",16,8,5,5 Anna,43000000,2077 B..S
"Kathmandu, Sitapaila, Adeshwor",16,6,6,4 Anna,30500000,2078 B..S
"Kathmandu, Golfutar",14,7,5,0.8.2.0 ,750000000,2078 B..S
"Kathmandu, Sitapaila, Banglamukhi",13,7,3,3.2.2 ,23500000,2074 B.S
"Kathmandu, Sitapaila",16,5,5,7.2,50000000,2072 B.S.
"Kathmandu, Sitapaila",16,4,4,5 Anna,37500000,2073 B.S
"Kathmandu, Ramkot, Nagarjuna-6",13,4,3,3.3.3 ,24000000,2078 B.S.
"Kathmandu, Dallu",13,4,3,3 Anna,29500000,2078 B..S
"Kathmandu, Budhanilkhantha, Bhangal",13,4,5,20 Anna,1025000000,2065 B.s
"Kathmandu, Sitapaila",22,6,5,4.5 Anna,33500000,2076 B.S
"Kathmandu, Raniban, Radha Krishna",20,6,4,0.4.2.1,25000000,2078 B.S.
"Kathmandu,Raniban, Kharibot",20,3,3,4.3 Anna,25000000,2077 B.S
"Kathmandu, Sitapaila",13,5,4,3.5 Anna,29000000,2078 B..S
"Kathmandu, Bafal",13,5,3,4 Anna,28500000,2078 B..S
"Kathmandu, Budhanilkhantha, Yekatabasti",13,3,3,11 Anna,81000000,2074 B.S
"Kathmandu, Bafal",12,5,3,3 Anna,28500000,2078 B..S
"Kathmandu, Sitapaila",16,6,3,3 Anna,22000000,2079 B.S.
"Lalitpur, khumaltar ",20,6,4,13.2 Anna,12000000,2045 B.S
"Kathmandu, Ravibhawan",20,5,3,27 Anna,30000000,2056 B.S.
"Kathmandu, Nagarjuna",13,6,3,3 Anna,20500000,2078 B..S
"Kathmandu, Nagarjuna, Towkhel",16,4,2,0.2.2.2,80000000,2078 B..S
"Lalitpur, Nakhu",13,4,3,0.5.2.1,39000000,2078 B..S
"Kathmandu, Sitapaila",16,5,5,9 Anna,200000000,2070 B.S
"Kathmandu, Nagarjuna, Ekdhara",13,9,4,6 Anna,47000000,2063 B.S
"Kathmandu, Swoyambhu,Panidhara",13,4,3,4 Anna,35000000,2074 B.S
"Lalitpur, Bhaisepati, Sainbu",10,6,4,8 Anna,60000000,2061 B.S.
"Thapathali, Kathmandu",13,4,3,22 Anna,15000000,2058 B.S
"Kathmandu, Sanepa",13,4,4,17 Anna,300000000,2074 B.S
"Lalitpur, Bhaisepati",14,4,5,3.3 Anna,37500000,2079 B.S.
"Lalitpur, Imadol, Cozy Homes",13,5,3,3 Anna 1 Dam,28500000,2079 B..S
"Kathmandu, Sitapaila",16,5,5,8 Anna,60000000,2077 B.S
"Kathmandu, Nagarjuna, Buddha Chowk",13,8,4,3 Anna,31000000,2079 B.S.
"Kathmandu, Nagarjuna",13,4,4,2.2 Anna,27500000,2079 B..S
"Lalitpur, Bhaisepati, Nakhu",13,5,5,3.1 Anna,29000000,2079 B.S
"kathmandu,  gokarneshwor  ",12,11,5,4.5 Anna,35000000,2078
"Godamchaur, Lalitpur",13,14,6,12 Anna,29000000,2069
"Kathmandu,Sano Bharyang",13,4,4,3 Anna,22500000,2078 B..S
"Kathmandu,Raniban",20,4,3,3.2 / 3 Anna,30000000,2079 B.S.
"Kathmandu, Sitapaila",13,5,3,3.2 Anna,28500000,2078 B..S
"Sitapaila, Kathmandu",16,5,4,9 Anna,55000000,2063 B.S
"Kathmandu, Bafal",20,4,4,4.2 Anna,40000000,2065 B.S.
"Kathmandu,Kuleshwor",22,7,5,7 Anna,75000000,2055 B.S
"Kathmandu, Chandragiri, Khahare",13,6,5,5.1 Anna,27000000,2078 B.S.
"kathmandu, Sano Bharyang",13,6,5,5 Anna,39800000,2075 B.S
"Kathmandu, Syuchatar",13,5,4,4 Anna,39500000,2079 B.S.
"kathmandu, Sano Bharyang",14,5,2,2.3 Anna,30000000,2079 B.S.
"Satungal, Kathmandu",10,5,4,3 Anna,19500000,2079 B.S.
"Kathmandu, Sitapaila",14,4,4,3.5 Anna,28500000,2079 B.S.
"Kathmandu,Bafal,Tahachal",14,4,4,3.5 Anna,30000000,2079 B.S.
"Kathmandu, Dallu",12,12,5,5 Anna,47000000,2074 B.S
"Kathmandu,Nagarjuna",13,4,3,0.2.3.0 Anna,25500000,2078 B..S
"Kathmandu, Nagarjuna",13,6,4,03.0.01,32000000,2079 B.S.
"KATHMANDU, CHANDRAGIRI",13,6,3,0.5.0.1 Anna,23500000,2078 B..S
"Lalitpur, Bojepokhari",13,6,5,0.3.2.1,27500000,2079
"Kathmandu, Bhaisepati",13,7,7,5 Anna,38000000,2079 B.S.
"Kathmandu, Sitapaila",13,8,5,0.4.2.0,39000000,2065 B.S
"Kathmandu, Budhanilkhantha, Chyasindol",13,3,2,2.2 Anna,14500000,2072 B.S
"Kathmandu, Dhapasi Height",14,2,2,14 Anna,127500000,2079 B.S
"Lalitpur, Hattiban",13,5,3,3 Anna,21500000,2079 B.S.
"Kathmandu, Sorhakhutte, Kaldhara",8,9,3,7 Anna,65000000,2048 B.S
"Kathmandu, Sitapaila",14,4,3,17 Anna,30000000,2061 B.S
"Kathmandu, Swoyambhu, Karkh chowk",16,4,5,4 Anna,33500000,2073 B.s
"Kathmandu, Sitapaila",14,7,5,5.5 Anna,39000000,2073 B.S
"KATHMANDU, SORAKHUTTE",7,12,4,2.3 Anna,25000000,2064 B.S
"Kathmandu, Thulo Bharyang",13,7,6,0.4.1.1 Anna,41500000,2079 B.S
"Kathmandu, Sano Bharyang",13,6,5,0.5.2.0 Anna,37500000,2074 B.S.
"Kathmandu, Sano Bharyang",13,5,4,3.1 Anna,26000000,2076 B.S
"KATHMANDU, CHAMATI",20,8,3,2.5 Anna,29500000,2079 B.S.
"Kathmandu, Sitapaila",10,3,3,2.2 Anna,22500000,2079 B.S.
"Kathmandu, Ramkot, Padma Colony",16,9,6,0.7.2.0,20000000,2074 B.S
"Kathmandu,Towkhel",13,6,4,4.1 Anna,25500000,2079 B.S
"Kathmandu, Kimdol",13,5,6,5.3 Anna,61500000,2079 B.S.
"kathmandu, Sano Bharyang",20,19,3,3.2 Anna,36000000,2078 B.S.
"Sukedhara , Kathmandu",8,3,2,2.5,31000000,2078 B..S
"KATHMANDU, BAFAL",13,6,4,4 Anna,28500000,2079 B.S.
"Kathmandu, Chamati",20,7,5,3.1 Anna,34000000,2078 B..S
"Kathmandu, Sitapaila",18,7,5,6 Anna,55000000,2079 B.S
"Kathmandu, Sitapaila",13,6,7,7 Anna,42500000,2078 B..S
"Kathmandu, Thankot",13,8,3,4.5 Anna,18500000,2079 B.S.
"Kathmandu, Thankot",13,3,1,3.1 Anna,11500000,2079 B.S.
"Kathmandu, Thankot",13,7,4,3.5 Anna,17000000,2079 B.S.
"Kathmandu, Dhungedhara",13,5,3,3 Anna,33000000,2079 B.S.
"Kathmandu ,Sanobharyang",12,6,3,3.5 Anna,31000000,2072 B.S.
"Kathmandu, Sitapaila,Syuchatar",14,5,3,3.1 Anna,23500000,2079 B.S.
"Kathmandu,Budhanilkantha",13,5,5,14.5 Anna,120000000,2059 B..S
"Kathmandu,Bafal",13,6,4,3.2 Anna,37500000,2078 B..S
"LALITPUR, Lalitpur, Imadole",13,5,3,0.3.5.0,29500000,2078 B..S
"Kathmandu,Sitapaila",16,4,4,3 Anna,30000000,2078 B.S.
"Kathmandu, Baniyatar",12,6,3,6 Anna,60000000,2073 B.S
"Lalitpur,Sainbu",13,4,2,0.4.2.5 Anna,35000000,2076B.S
"Lalitpur,Bhaisepati",18,11,9,12 Anna,160000000,2058 B.S
"Kathmandu,Sitapaila",10,6,3,0.3.2.5 Anna,28000000,2079 B.S
"Kathmandu, Ramkot",16,6,3,3.2 Anna,20000000,2075 B.S
"Swoyambhu , Kathmandu",13,6,3,0.4.2.0 Anna,30000000,2079 B.S
"Kathmandu, Sitapaila, Towkhel",13,6,3,0.2.5.0 Anna,22000000,2078 B..S
"Kathmandu, Sitapaila",10,4,3,2.5 Anna,20000000,2074 B.S.
"Sitapaila, Kathmandu",12,6,5,4.5 Anna,27500000,2077 B.S
"Sitapaila , Kathmandu",14,4,3,0.3.3.3,30000000,2078 B.S.
"Kathmandu, Thankot",13,8,3,3 Anna,20000000,2072 B..S
"loktantrik chowk,Mmaiju,Kathmandu",13,4,4,9.25 Anna,73500000,2015 B.S
"Kathmandu, Thankot",12,4,3,3 Anna,16500000,2077 B.S
"Dhapakhel, Lalitpur",10,4,7,4 Anna,28800000,2072 BS
"Lalitpur, Godawari,Thecho",8,5,4,5 Anna,30000000,2074 B.S
"Imadol, Lalitpur",20,7,3,3.1 Anna,50000000,2079 B.S.
"Kathmandu,Kirtipur",20,4,3,8.5 Anna,80000000,2074 B.S
"Imadol , Lalitpur",20,5,4,3 Anna,27500000,2079 B.S
"Lalitpur, Imadole",13,5,4,3.1 Anna,10000000,2079 B.S
"Lalitpur, Imadole",13,5,4,3.1 Anna,10000000,2079 B.S
"Lalitpur,  Imadole",13,6,4,0.3.3.3 Anna,35000000,2078 B.S.
"Kathmandu, Sitapaila",13,6,7,7.5 Anna,70000000,2079 B.S
"Kathmandu,Sitapaila",10,5,3,4 Anna,22000000,2071 B.S
"Kathmandu, Balambu",13,4,3,4 Anna,25000000,2079 B.S
"Kathmandu,Rai Chowk",12,6,3,0.3.3.2,25000000,2070 B.S
"Sitapaila, Kathmandu",13,5,5,0.3.2.2,28000000,2079 B.S.
"Chandragiri, ",14,5,3,3.5 Anna,20000000,2079 B.S.
"Chandragiri,Tinth",13,5,5,4.5 Anna,30000000,2079 B.S.
"Kathmandu,Sano Bharyang",20,6,4,5 Anna,40000000,2079 B.S.
"Kathmandu,Sitapaila,Towkhel",13,4,4,0.3.3.0 Anna,20000000,2079 B.S.
"Kathmandu, Sitapaila",16,5,5,5 Anna,38500000,2074 B.S
"Kathmandu,Sitapaila",20,4,4,8.5 Anna,51000000,2075 B.S.
"Kathmandu, Budhanilkantha",20,4,4,7.5 Anna,60300000,2023 AD
"Imadol, Lalitpur",16,6,4,0.3.2.1 Anna,32500000,2080 B.S.
"Lalitpur,Imadol, Bojho Pokhari",13,6,4,3 Anna,29500000,2080 B.S.
"KAPAN,KATHMANDU",14,5,3,3 Anna,25000000,2080 B.S
"Lalitpur,Tikathali",13,5,3,3.2 Anna,21500000,2079 B.S.
"Lalitpur,Tikathali",13,4,3,3.3 Anna,22500000,2080 B.S
"Lalitpur, Imadole",13,7,6,4.1 Anna,40200000,2080 B.S
"Lalitpur, Imadole",13,5,4,3.3 Anna,30000000,2080 B.S.
"Lalitpur, Imadole",10,6,3,3 Anna,27590000,2080 B..S
"Lalitpur,Tikathali",13,6,4,3.2.1.0,22300000,2080 B.S
"Lalitpur,Tikathali",13,5,5,4.1 Anna,34100000,2080 B..S
"Lalitpur, Imadole",20,7,6,4.3.1.0 Anna,40000000,2080 B..S
"Lalitpur, Imadole",20,6,5,4.1.3.0,36000000,2080 B.S
"Lalitpur, Imadole",20,6,5,4.5 Anna,41000000,2080 B.S
"Kathmandu,Bafal",11,4,4,5 Anna,43500000,2080 B.S.
"Kathmandu,Sitapaila",13,5,4,4 Anna,24500000,2068 B.S.
"Kathmandu, chauni",12,5,3,4 Anna,35000000,2069 B.S
"Sitapaila, Kathmandu",12,5,4,3 Anna,26700000,2080 B.S
"Kathmandu,Thulo Bharyang",12,5,3,3 Anna,32000000,2080 B.S
"Kathmandu, Sano Bharyang",20,6,5,6 Anna,44500000,2076 B.S
"Lalitpur, Imadole",13,5,4,0.3.1.2 Anna,24600000,2080 B.S
"Lalitpur, Imadole",13,5,3,3.1.1Anna,27800000,2080 B.S
"Lalitpur, Imadole",13,6,3,0.3.0.1 Anna,21200000,2080 B.S
"Lalitpur, Imadole",13,4,3,3 Anna,20900000,2080 B.S
"Lalitpur, Imadole",13,6,3,3.3 Anna,24900000,2080 B.S
"Kathmandu, Sano Bharyang",20,6,5,6 Anna,42000000,2077 B..S
"Sitapaila, Kathmandu",12,5,4,4.1Anna,29600000,2074 B.S
"Lalitpur,Tikathali",13,4,3,4 Anna,34500000,2079 B.S.
"Kathmandu, Sitapaila",16,5,4,29 Anna,50000000,2065 B.S
"Kathmandu,Sano Bharyang",26,12,4,6 Anna,55000000,2080 B.S
"Kathmandu, Thulo Bharyang,",20,6,4,7 Anna,50000000,2075 B.S.
"Kathmandu, Sano Bharyang",10,12,9,7 Anna,40100000,2065 B.S
"Kathmandu, Nagarjuna, Ramkot",20,4,4,0.3.3.2,31200000,2074 B.S
"Kathmandu, Kirtipur, Machhegaun",13,7,4,0.3.2.1 Anna,40000000,2079 B.S.
"Kathmandu, Sitapaila",14,3,2,4 Anna,32400000,2074 B.s
"Kathmandu, Nagarjuna, Ramkot",13,5,3,3.2 Anna,28900000,2080 B.S.
"Kathmandu, Kalanki",13,5,3,0.3.1.2 Anna,36000000,2079 B.S.
"kathmandu, Sitapaila",13,6,6,0.4.1.0 Anna,41000000,2080 B.S.
"Kathmandu, Sitapaila",13,5,4,0.3.0.0 Anna,39700000,2080 B.S.
"Kathmandu, Kalanki",14,2,3,8 Anna,43500000,2016
"Kathmandu,kalanki",13,6,5,3 Anna,35000000,2080 B.S
"Thulo Bharyang, kathmandu",13,5,4,5 Anna,27500000,2074 B.S.
"kathmandu, Sano Bharyang",20,5,5,13 Anna,750000000,2074 B.S
"Civil Homes II Tinth, Chandragiri",16,3,3,0-8-1-3,46000000,2068
"Kathmandu,Chhauni",12,5,4,8 Anna,100000000,2073 B.S
Adeshwor temple,14,4,3,3 Anna,28000000,2075 B.S
"Thulo Bharyang, kathmandu",16,5,4,4.1 Anna,37800000,2080 B.S
"Bhaisipati, Lalitpur",14,4,4,4.1 Anna,40000000,2080 B.S
"Kathmandu, Sitapaila",16,4,3,3 Anna 1 Paisa,32500000,2075 B.S
"Kathmandu, Sitapaila",13,4,3,0.3.3.2,20000000,2075 B.S
"Kathmandu, Thankot",14,6,3,3 Anna,20000000,2069 B.S
"Kathmandu, Thankot",13,3,1,0.3.2.2,27800000,2079 B.S.
"Kathmandu, Bafal",12,5,3,3.1 Anna,27000000,2077 B.S
"Kathmandu, Swoyambhu",16,8,3,7 Anna,38000000,2079 B.S.
