locationLat,locationLon,roadSize,bedrooms,bathrooms,landArea,price,builtOn
27.7780872,85.36232349672666,13,7,5,2943.35,115000000,2013
27.6561677,85.3060365,16,6,6,1369,37500000,2003
27.666822,85.344299,14,4,4,1369,24000000,2020
27.7682737,85.3733743,14,6,3,3764.75,80000000,2019
27.7126782,85.3287033,16,5,5,5818.25,135000000,2003
27.7437703,85.3343252,20,6,4,2053.5,33000000,1995
27.7535604,85.3402018,14,6,4,1369,33000000,1997
27.707529,85.282715,16,4,4,1437.45,24000000,2019
27.7017723,85.2879742,13,7,4,1779.7,46000000,2017
27.7307726,85.384938,12,6,5,752.95,17000000,2013
27.6347661,85.3023087,20,4,5,1369,32500000,2003
27.7339796,85.3116017,14,4,5,1403.225,22500000,2018
27.7682737,85.3733743,18,4,4,2053.5,45000000,2019
27.6561677,85.3060365,18,4,4,1369,28500000,2001
27.6561677,85.3060365,20,4,4,1095.2,25000000,2003
27.704617550000002,85.32718424741655,13,6,3,1437.45,27200000.000000004,2019
27.7279694,85.3457219,12,5,3,2053.5,40000000,2003
27.7250256,85.34074,12,7,4,1882.375,62500000,1995
27.7234503,85.2945917,12,7,4,1095.2,26000000,2015
27.69106075,85.30020492190519,18,5,4,752.95,22500000,2013
27.6930852,85.219198,13,4,4,1437.45,16000000,2013
27.666822,85.344299,13,3,3,752.95,17000000,2003
27.775184,85.3612405,13,5,5,1779.7,40000000,2013
27.6651141,85.32934288691034,15,5,3,1369,19500000,2020
27.775184,85.3612405,20,5,4,1369,37000000,2018
27.6930852,85.219198,13,4,4,1026.75,15000000,2008
27.7437703,85.3343252,12,5,4,1369,28500000,2011
27.666822,85.344299,13,4,4,1095.2,19000000,2019
27.7437703,85.3343252,13,3,3,1711.25,32000000,2019
27.68969005,85.3283405,14,5,5,2464.2000000000003,42000000,2019
27.7682737,85.3733743,18,5,6,2053.5,47500000,2017
27.7748587,85.3611288,14,5,5,1403.225,32500000,2019
27.6887901,85.3667416,20,4,3,1129.425,33000000,2019
27.7233471,85.3331617,13,4,4,1711.25,55000000,2020
27.68969005,85.3283405,18,7,3,1711.25,37500000,2013
27.6561677,85.3060365,20,4,4,1369,38000000,2018
27.6769722,85.4803234,10,2,1,1026.75,75,2005
27.6561677,85.3060365,20,4,5,1095.2,24500000,2008
27.775184,85.3612405,13,5,4,1369,27000000,2011
27.6704793,85.4403432,13,3,2,2464.2000000000003,35000000,2019
27.666822,85.344299,14,4,4,1026.75,18500000,2013
27.6587407,85.3003249,20,4,5,1095.2,26500000,2006
27.666822,85.344299,13,7,4,1026.75,16000000,2013
27.7686237,85.3305739,13,4,4,1026.75,23000000,2020
27.6620555,85.3133202,12,4,3,1026.75,26500000,2003
27.6411376,85.3184812,20,4,4,1369,27500000,2020
27.666822,85.344299,13,4,3,1026.75,19000000,2008
27.726129450000002,85.35778057853653,30,10,4,1026.75,39000000,2011
27.7017723,85.2879742,13,4,4,1437.45,25500000,2019
27.7234503,85.2945917,12,5,4,1095.2,28000000,2019
27.6930852,85.219198,5,7,4,1026.75,10500000,2019
27.6930852,85.219198,13,3,3,1026.75,11500000,2019
27.7483836,85.3184514,10,4,4,752.95,18500000,2019
27.6932983,85.2816525,12,5,3,2738,42500000,2018
27.7017723,85.2879742,14,6,4,1369,30000000,2005
27.7208558,85.2521799,20,4,2,1369,15500000,2008
27.7208558,85.2521799,20,4,2,1711.25,17500000,2011
27.7177649,85.30057633973956,20,7,7,1437.45,41000000,2008
27.6499414,85.3325441,13,6,4,1369,21500000,2020
27.6499414,85.3325441,13,5,4,1369,21000000,2020
27.6561677,85.3060365,15,4,5,1711.25,35000000,2011
27.6550757,85.3153542,10,2,1,1437.45,25000000,2016
27.7780872,85.36232349672666,13,6,6,1745.475,41500000,2019
27.7361203,85.3473916,16,4,4,4449.25,70000000,2013
27.7748587,85.3611288,14,6,4,2053.5,36000000,2019
27.7686237,85.3305739,14,4,5,1711.25,34500000,2008
27.6651141,85.32934288691034,13,5,4,1437.45,30000000,2020
27.7437703,85.3343252,12,7,5,3798.975,50000000,2017
27.75,85.333333,20,4,4,2395.75,38000000,2018
27.7686237,85.3305739,13,5,5,1026.75,31000000,2013
27.7682737,85.3733743,18,4,4,4107,67500000,2013
27.6932983,85.2816525,10,5,4,1403.225,29000000,2018
27.75294405,85.32531031465638,12,5,5,1471.675,28000000,2017
27.7780872,85.36232349672666,12,4,4,3080.25,55000000,2019
27.7686237,85.3305739,12,6,4,1745.475,32500000,2017
27.7197605,85.2869099,13,7,5,2395.75,39500000,2018
27.775184,85.3612405,14,5,5,1369,35000000,2019
27.7275896,85.338357,20,5,3,1779.7,47500000,2013
27.7352708,85.3058928,13,4,4,1026.75,26000000,2005
27.692021349999997,85.30054695162818,13,2,1,1026.75,98,2008
27.7535604,85.3402018,13,3,2,1369,22500000,2011
27.6587407,85.3003249,20,4,5,1369,28000000,2019
27.666822,85.344299,14,4,4,1026.75,18500000,2020
